group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
pilot,A230212d0_rd512,A/Abu_Dhabi/6753/2023,3315,interpolated,1381,2,midpoint
pilot,A230212d0_rd512,A/Bhutan/0845/2023,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/Bhutan/FLU-BTG-00988/2022,4640,interpolated,1130,3,midpoint
pilot,A230212d0_rd512,A/Cambodia/e0826360/2020,5647,interpolated,812,3,midpoint
pilot,A230212d0_rd512,A/Chipata/15-NIC-001/2023,3578,interpolated,2093,2,midpoint
pilot,A230212d0_rd512,A/Finland/399/2023,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/Hong_Kong/2671/2019,5752,interpolated,638.3,3,midpoint
pilot,A230212d0_rd512,A/Hong_Kong/45/2019,5767,lower,940,3,midpoint
pilot,A230212d0_rd512,A/Hong_Kong/4801/2014,5767,lower,0,3,midpoint
pilot,A230212d0_rd512,A/Hong_Kong/4801/2014_(15/192),5767,lower,0,3,midpoint
pilot,A230212d0_rd512,A/Jeju/1047/2023,5767,lower,952,3,midpoint
pilot,A230212d0_rd512,A/Kansas/14/2017,4705,interpolated,891.1,3,midpoint
pilot,A230212d0_rd512,A/Krabi/THIS050/2023,5237,lower,529.3,2,midpoint
pilot,A230212d0_rd512,A/Malaysia/IMR-SARI1989/2023,5767,lower,885.1,3,midpoint
pilot,A230212d0_rd512,A/Maldives/852/2023,5767,lower,0,3,midpoint
pilot,A230212d0_rd512,A/Massachusetts/18/2022,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/Netherlands/01685/2023,5767,lower,781.6,3,midpoint
pilot,A230212d0_rd512,A/Netherlands/01693/2023,4968,interpolated,624.3,3,midpoint
pilot,A230212d0_rd512,A/Netherlands/01760/2023,5767,lower,1587,3,midpoint
pilot,A230212d0_rd512,A/Oman/3011/2023,4252,lower,1515,2,midpoint
pilot,A230212d0_rd512,A/Romania/543634/2022,5672,interpolated,625.6,3,midpoint
pilot,A230212d0_rd512,A/SENDAI/45/2023,4710,interpolated,811.6,3,midpoint
pilot,A230212d0_rd512,A/SOUTH_AFRICA/R07876/202023,4188,lower,1579,2,midpoint
pilot,A230212d0_rd512,A/Schleswig-Holstein/4/2023,5767,lower,358.5,3,midpoint
pilot,A230212d0_rd512,A/Singapore/INFIMH-16-0019/2016,5767,lower,1579,3,midpoint
pilot,A230212d0_rd512,A/Solwezi/13-NIC-001/2023,3732,interpolated,929.2,3,midpoint
pilot,A230212d0_rd512,A/SouthAfrica/PET28931/2023,4344,lower,1422,2,midpoint
pilot,A230212d0_rd512,A/SouthSudan/642/2023,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/South_Africa/K056872/2023,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/South_Africa/KO56863/2023,5717,interpolated,344.8,3,midpoint
pilot,A230212d0_rd512,A/South_Africa/R05510/2023,1532,interpolated,576.1,2,midpoint
pilot,A230212d0_rd512,A/South_Africa/R07188/2023,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/South_Dakota/22/2023,2661,interpolated,2049,2,midpoint
pilot,A230212d0_rd512,A/Surat_Thani/P152/2023,4805,lower,961.1,2,midpoint
pilot,A230212d0_rd512,A/Switzerland/9715293/2013,3681,interpolated,962.8,2,midpoint
pilot,A230212d0_rd512,A/Switzerland/9715293/2013_NIB-88,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/Sydney/332/2023,2595,interpolated,640.1,3,midpoint
pilot,A230212d0_rd512,A/Texas/50/2012,5767,lower,0,3,midpoint
pilot,A230212d0_rd512,A/Texas/50/2012_X-223A_(13/252),5767,lower,0,3,midpoint
pilot,A230212d0_rd512,A/Townsville/68/2023,5767,lower,0,2,midpoint
pilot,A230212d0_rd512,A/YAMAGATA/98/2023,4263,interpolated,459.2,2,midpoint
