group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
pilot,A23038d0_r32_50K,A/Abu_Dhabi/6753/2023,844.1,interpolated,117.4,3,midpoint
pilot,A23038d0_r32_50K,A/Bangkok/P3599/2023,1795,interpolated,810.9,3,midpoint
pilot,A23038d0_r32_50K,A/Bangkok/P3755/2023,720,interpolated,266,3,midpoint
pilot,A23038d0_r32_50K,A/Bhutan/0006/2023,510.6,interpolated,164.5,2,midpoint
pilot,A23038d0_r32_50K,A/Bhutan/0845/2023,562.4,interpolated,273,3,midpoint
pilot,A23038d0_r32_50K,A/Bhutan/FLU-BTG-00988/2022,762.7,interpolated,1.441,2,midpoint
pilot,A23038d0_r32_50K,A/Brisbane/429/2023,645.1,interpolated,151.8,3,midpoint
pilot,A23038d0_r32_50K,A/Busan/1301/2023,996.7,interpolated,638.9,3,midpoint
pilot,A23038d0_r32_50K,A/California/81/2023,1135,interpolated,171.8,3,midpoint
pilot,A23038d0_r32_50K,A/Cambodia/e0826360/2020,524.8,interpolated,32.12,3,midpoint
pilot,A23038d0_r32_50K,A/Cambodia/e0826360/2020_egg,1.135e+04,interpolated,1238,3,midpoint
pilot,A23038d0_r32_50K,A/Catalonia/2041146NS/2023,457.1,interpolated,87.73,3,midpoint
pilot,A23038d0_r32_50K,A/Catalonia/NSVH102124476/2023,521.7,interpolated,139.4,3,midpoint
pilot,A23038d0_r32_50K,A/Chipata/15-NIC-001/2023,841.1,interpolated,437.8,3,midpoint
pilot,A23038d0_r32_50K,A/Darwin/6/2021,239.8,interpolated,206.7,3,midpoint
pilot,A23038d0_r32_50K,A/EHIME/50/2023,1016,interpolated,165,3,midpoint
pilot,A23038d0_r32_50K,A/Finland/391/2023,488.2,interpolated,119.7,3,midpoint
pilot,A23038d0_r32_50K,A/Finland/399/2023,425.4,interpolated,149.5,3,midpoint
pilot,A23038d0_r32_50K,A/Georgia/40/2023,777.1,interpolated,537.6,3,midpoint
pilot,A23038d0_r32_50K,A/Guangdong-Futian/1980/2023,898.5,interpolated,405.4,3,midpoint
pilot,A23038d0_r32_50K,A/Hong_Kong/2671/2019,9946,interpolated,1844,3,midpoint
pilot,A23038d0_r32_50K,A/Hong_Kong/45/2019,1206,interpolated,135.2,3,midpoint
pilot,A23038d0_r32_50K,A/Hong_Kong/4801/2014,4850,interpolated,2340,3,midpoint
pilot,A23038d0_r32_50K,A/Hong_Kong/4801/2014_(15/192),1.28e+04,lower,0,3,midpoint
pilot,A23038d0_r32_50K,A/Jeju/1047/2023,886.1,interpolated,1169,3,midpoint
pilot,A23038d0_r32_50K,A/KANAGAWA/AC2316/2023,1053,interpolated,270.9,3,midpoint
pilot,A23038d0_r32_50K,A/KANAGAWA/IC2239/2023,454,interpolated,626.7,3,midpoint
pilot,A23038d0_r32_50K,A/Kansas/14/2017,4544,interpolated,940.1,3,midpoint
pilot,A23038d0_r32_50K,A/Krabi/THIS050/2023,1370,interpolated,236.1,3,midpoint
pilot,A23038d0_r32_50K,A/Luga/RII-11393S/2023,499,interpolated,193.3,3,midpoint
pilot,A23038d0_r32_50K,A/Malaysia/IMR-SARI1989/2023,981.3,interpolated,1049,3,midpoint
pilot,A23038d0_r32_50K,A/Maldives/852/2023,1090,interpolated,792.2,3,midpoint
pilot,A23038d0_r32_50K,A/Massachusetts/18/2022,1382,interpolated,452.5,2,midpoint
pilot,A23038d0_r32_50K,A/Netherlands/01685/2023,1280,interpolated,488.7,3,midpoint
pilot,A23038d0_r32_50K,A/Netherlands/01693/2023,730.1,interpolated,1055,3,midpoint
pilot,A23038d0_r32_50K,A/Netherlands/01760/2023,846.8,interpolated,116.1,3,midpoint
pilot,A23038d0_r32_50K,A/Oman/3011/2023,814.7,interpolated,93.97,3,midpoint
pilot,A23038d0_r32_50K,A/Ontario/RV00796/2023,801.1,interpolated,302.4,3,midpoint
pilot,A23038d0_r32_50K,A/SENDAI/45/2023,779.7,interpolated,108.7,3,midpoint
pilot,A23038d0_r32_50K,A/SOUTH_AFRICA/R07876/202023,794.8,interpolated,419.1,3,midpoint
pilot,A23038d0_r32_50K,A/Saint-Petersburg/RII-MH144113/2023,1114,interpolated,718.2,3,midpoint
pilot,A23038d0_r32_50K,A/Samut_Songkhram/THIS061/2023,1006,interpolated,893.9,3,midpoint
pilot,A23038d0_r32_50K,A/Saskatchewan/SKFLU317847/2023,862.5,interpolated,212.5,3,midpoint
pilot,A23038d0_r32_50K,A/Schleswig-Holstein/4/2023,1033,interpolated,500.1,3,midpoint
pilot,A23038d0_r32_50K,A/Singapore/INFIMH-16-0019/2016,6074,interpolated,1685,3,midpoint
pilot,A23038d0_r32_50K,A/Singapore/INFIMH-16-0019/2016_X-307A,1.28e+04,lower,0,3,midpoint
pilot,A23038d0_r32_50K,A/Solwezi/13-NIC-001/2023,549.2,interpolated,59,3,midpoint
pilot,A23038d0_r32_50K,A/SouthAfrica/PET28931/2023,391.1,interpolated,280.5,3,midpoint
pilot,A23038d0_r32_50K,A/SouthSudan/631/2023,808.2,interpolated,156.6,3,midpoint
pilot,A23038d0_r32_50K,A/SouthSudan/642/2023,1014,interpolated,281.7,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/K056872/2023,434.7,interpolated,248.3,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/KO56863/2023,639.6,interpolated,227,2,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R05384/2023,868.3,interpolated,143.4,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R05510/2023,1464,interpolated,463.3,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R06240/2023,1210,interpolated,228,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R06359/2023,595.4,interpolated,194.8,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R06477/2023,850.1,interpolated,26.99,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R06506/2023,626.3,interpolated,409.3,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R07073/2023,1162,interpolated,238.2,3,midpoint
pilot,A23038d0_r32_50K,A/South_Africa/R07188/2023,1200,interpolated,465,3,midpoint
pilot,A23038d0_r32_50K,A/South_Dakota/22/2023,556.6,interpolated,74.94,3,midpoint
pilot,A23038d0_r32_50K,A/Surat_Thani/P152/2023,1160,interpolated,114,3,midpoint
pilot,A23038d0_r32_50K,A/Switzerland/9715293/2013,3127,interpolated,1221,2,midpoint
pilot,A23038d0_r32_50K,A/Switzerland/9715293/2013_NIB-88,8222,interpolated,439.9,2,midpoint
pilot,A23038d0_r32_50K,A/Sydney/332/2023,808.5,interpolated,167.2,3,midpoint
pilot,A23038d0_r32_50K,A/Sydney/710/2023,466.5,interpolated,65.62,3,midpoint
pilot,A23038d0_r32_50K,A/Sydney/715/2023,1073,interpolated,193.1,3,midpoint
pilot,A23038d0_r32_50K,A/Sydney/749/2023,2639,interpolated,996.7,3,midpoint
pilot,A23038d0_r32_50K,A/TECPAN/017FLU/2023,1052,interpolated,165.2,3,midpoint
pilot,A23038d0_r32_50K,A/Texas/50/2012,1.28e+04,lower,0,3,midpoint
